ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
2023,MECİDİYEKÖY AVM - ÇIRÇIR METRO,37M_D_D0,ÇIRÇIR METRO - MECİDİYEKÖY,37M,0,AKTİF,1636615.0,ÇIRÇIR METRO,MECİDİYEKÖY AVM,DÖNÜŞ,727,211981.0,HAYIR,0,41.06096491048826,28.94962504153172
2065,EMİNÖNÜ  -  GAZİOSMANPAŞA EĞİTİM VE ARAŞTIRMA HASTANESİ,38E_D_D0,G.O.P. DEVLET HASTANESİ - EMİNÖNÜ,38E,0,AKTİF,1379129.0,GAZİOSMANPAŞA EĞİTİM VE ARAŞTIRMA HASTANESİ,EMİNÖNÜ,DÖNÜŞ,348,200196.0,HAYIR,0,41.04998330510841,28.921222513416467
3201,ATIŞALANI YANYOL - BAŞAKŞEHİR METROKENT,78_D_D7730,METROKENT - EMİNÖNÜ,78,7730,AKTİF,1512395.0,BAŞAKŞEHİR METROKENT,EMİNÖNÜ,DÖNÜŞ,510,219542.0,HAYIR,0,41.081797683313965,28.822743950026343
2316,BAHÇEKÖY -  ZİNCİRLİKUYU METROBÜS,42_G_D3946,BAHÇEKÖY / FERAHEVLER - ZİNCİRLİKUYU METROBÜS,42,3946,AKTİF,4321437.0,BAHÇEKÖY,ZİNCİRLİKUYU METROBÜS,GİDİŞ,318,626598.0000000001,EVET,113361,41.12722735786568,29.024630089001096
7449,PENDİK YHT İSTASYONU  -  SULTANBEYLİ PERONLAR,KM26_D_D1951,ÇAMLIK MAHALLESİ - PENDİK METRO/ YHT / PENDİK,KM26,1951,AKTİF,1488691.0,SULTANBEYLİ PERONLAR,PENDİK,DÖNÜŞ,840,213897.0,HAYIR,0,40.91250508894144,29.26289985164533
7474,SULTANBEYLİ PERONLAR -  KADIKÖY,18K_G_D1969,SULTANBEYLİ - KADIKÖY,18K,1969,AKTİF,6306848.0,SULTANBEYLİ PERONLAR,KADIKÖY,GİDİŞ,758,913072.0,EVET,404031,40.98167463465781,29.167286511409603
7476,RECEP TAYYİP ERDOĞAN CADDESİ - VEYSEL KARANİ İLKOKULU,18V_G_D1970,VEYSEL KARANİ / SAMANDIRA - KADIKÖY,18V,1970,AKTİF,5586519.0,RECEP TAYYİP ERDOĞAN CADDESİ,KADIKÖY,GİDİŞ,946,810947.0,EVET,409031,40.98821989694259,29.14595144142352
7495,ZEYTİNBURNU - EMİNÖNÜ,93_G_D5806,ZEYTİNBURNU - EMİNÖNÜ,93,5806,AKTİF,1662771.9999999998,ZEYTİNBURNU,EMİNÖNÜ,GİDİŞ,2,24137.0,HAYIR,0,41.00467943844055,28.927097352232924
1254,KADIKÖY - RECEP TAYYİP ERDOĞAN CADDESİ,18V_D_D1730,VEYSEL KARANİ / SAMANDIRA - KADIKÖY,18V,1730,AKTİF,3178311.0,RECEP TAYYİP ERDOĞAN CADDESİ,KADIKÖY,DÖNÜŞ,946,461251.00000000006,HAYIR,0,40.98313687771958,29.15689563886735
1278,YENİDOĞAN PERONLAR - MERVE CADDESİ,19A_G_D1762,YENİDOĞAN - AYRILIKÇEŞME,19A,1762,AKTİF,2283203.0,YENİDOĞAN PERONLAR,AYRILIKÇEŞMESİ MARMARAY,GİDİŞ,857,331428.0,EVET,202061,41.00924591504054,29.217970174677586
